ProductDescription,SpotPrice,Timestamp
"SUSE Linux",0.2171,2020-06-16T17:07:18.000Z
Linux/UNIX,0.0671,2020-06-17T17:07:33.000Z
"Red Hat Enterprise Linux",0.1971,2020-06-17T17:07:33.000Z
"SUSE Linux",0.2171,2020-06-17T17:07:33.000Z
Linux/UNIX,0.0671,2020-06-18T17:08:01.000Z
"Red Hat Enterprise Linux",0.1971,2020-06-18T17:08:01.000Z
"SUSE Linux",0.2171,2020-06-18T17:08:01.000Z
Linux/UNIX,0.0671,2020-06-19T17:08:37.000Z
"Red Hat Enterprise Linux",0.1971,2020-06-19T17:08:37.000Z
"SUSE Linux",0.2171,2020-06-19T17:08:37.000Z
Linux/UNIX,0.0671,2020-06-20T17:09:32.000Z
"Red Hat Enterprise Linux",0.1971,2020-06-20T17:09:32.000Z
"SUSE Linux",0.2171,2020-06-20T17:09:32.000Z
Linux/UNIX,0.0671,2020-06-21T17:10:00.000Z
"Red Hat Enterprise Linux",0.1971,2020-06-21T17:10:00.000Z
"SUSE Linux",0.2171,2020-06-21T17:10:00.000Z
Linux/UNIX,0.0671,2020-06-22T17:10:10.000Z
"Red Hat Enterprise Linux",0.1971,2020-06-22T17:10:10.000Z
"SUSE Linux",0.2171,2020-06-22T17:10:10.000Z
Linux/UNIX,0.0671,2020-06-23T17:11:06.000Z
"Red Hat Enterprise Linux",0.1971,2020-06-23T17:11:06.000Z
"SUSE Linux",0.2171,2020-06-23T17:11:06.000Z
Linux/UNIX,0.0671,2020-06-23T21:07:34.000Z
"Red Hat Enterprise Linux",0.1971,2020-06-23T21:07:34.000Z
"SUSE Linux",0.2171,2020-06-23T21:07:34.000Z
Linux/UNIX,0.0671,2020-06-24T21:08:32.000Z
"Red Hat Enterprise Linux",0.1971,2020-06-24T21:08:32.000Z
"SUSE Linux",0.2171,2020-06-24T21:08:32.000Z
Linux/UNIX,0.0671,2020-06-25T21:09:16.000Z
"Red Hat Enterprise Linux",0.1971,2020-06-25T21:09:16.000Z
"SUSE Linux",0.2171,2020-06-25T21:09:16.000Z
Linux/UNIX,0.0671,2020-06-26T21:09:21.000Z
"Red Hat Enterprise Linux",0.1971,2020-06-26T21:09:21.000Z
"SUSE Linux",0.2171,2020-06-26T21:09:21.000Z
Linux/UNIX,0.0671,2020-06-27T21:10:12.000Z
"Red Hat Enterprise Linux",0.1971,2020-06-27T21:10:12.000Z
"SUSE Linux",0.2171,2020-06-27T21:10:12.000Z
Linux/UNIX,0.0671,2020-06-28T14:19:25.000Z
"Red Hat Enterprise Linux",0.1971,2020-06-28T14:19:25.000Z
"SUSE Linux",0.2171,2020-06-28T14:19:25.000Z
Linux/UNIX,0.0671,2020-06-29T14:19:42.000Z
"Red Hat Enterprise Linux",0.1971,2020-06-29T14:19:42.000Z
"SUSE Linux",0.2171,2020-06-29T14:19:42.000Z
Linux/UNIX,0.0671,2020-06-30T01:36:00.000Z
"Red Hat Enterprise Linux",0.1971,2020-06-30T01:36:00.000Z
"SUSE Linux",0.2171,2020-06-30T01:36:00.000Z
Linux/UNIX,0.0671,2020-07-01T01:36:08.000Z
"Red Hat Enterprise Linux",0.1971,2020-07-01T01:36:08.000Z
"SUSE Linux",0.2171,2020-07-01T01:36:08.000Z
Linux/UNIX,0.0671,2020-07-02T01:36:45.000Z
"Red Hat Enterprise Linux",0.1971,2020-07-02T01:36:45.000Z
"SUSE Linux",0.2171,2020-07-02T01:36:45.000Z
Linux/UNIX,0.0671,2020-07-03T01:37:23.000Z
"Red Hat Enterprise Linux",0.1971,2020-07-03T01:37:23.000Z
"SUSE Linux",0.2171,2020-07-03T01:37:23.000Z
Linux/UNIX,0.0671,2020-07-04T01:37:58.000Z
"Red Hat Enterprise Linux",0.1971,2020-07-04T01:37:58.000Z
"SUSE Linux",0.2171,2020-07-04T01:37:58.000Z
Linux/UNIX,0.0671,2020-07-05T01:38:16.000Z
"Red Hat Enterprise Linux",0.1971,2020-07-05T01:38:16.000Z
"SUSE Linux",0.2171,2020-07-05T01:38:16.000Z
